Tissue,Pathway,Difference,AbsDiff
Cor,Glycolysis,0.008924709677026854,0.008924709677026854
Cor,Oxidative PPP,0.009742319711912042,0.009742319711912042
Cor,Non oxidative PPP,0.010031451672727981,0.010031451672727981
Cor,Lactate Dehydrogenase,0.06327518910233698,0.06327518910233698
Cor,Pyruvate Dehydrogenase,-0.04754552114756744,0.04754552114756744
Cor,TCA Cycle,-0.00764879640828231,0.00764879640828231
Cor,Fatty Acid Oxidation,0.0013891848522863126,0.0013891848522863126
Cor,Fatty Acid Synthesis,-0.013166808024070636,0.013166808024070636
SK,Glycolysis,0.11501831862212542,0.11501831862212542
SK,Oxidative PPP,-0.06819408865155407,0.06819408865155407
SK,Non oxidative PPP,-0.06995580745734528,0.06995580745734528
SK,Lactate Dehydrogenase,0.11702900902760843,0.11702900902760843
SK,Pyruvate Dehydrogenase,0.030990096302578457,0.030990096302578457
SK,TCA Cycle,0.02813485131549226,0.02813485131549226
SK,Fatty Acid Oxidation,0.014712073930971181,0.014712073930971181
SK,Fatty Acid Synthesis,0.05394396953548586,0.05394396953548586
Gas,Glycolysis,-0.011232495932825604,0.011232495932825604
Gas,Oxidative PPP,0.0001647179685913408,0.0001647179685913408
Gas,Non oxidative PPP,-0.00024753413474010166,0.00024753413474010166
Gas,Lactate Dehydrogenase,-0.09944352982367277,0.09944352982367277
Gas,Pyruvate Dehydrogenase,-0.030580993964266445,0.030580993964266445
Gas,TCA Cycle,-0.008983553426238189,0.008983553426238189
Gas,Fatty Acid Oxidation,-0.014283455079057594,0.014283455079057594
Gas,Fatty Acid Synthesis,-0.010695888584893926,0.010695888584893926
CB,Glycolysis,-0.02836844280477535,0.02836844280477535
CB,Oxidative PPP,-3.886998825122778e-05,3.886998825122778e-05
CB,Non oxidative PPP,-0.0031598882751936175,0.0031598882751936175
CB,Lactate Dehydrogenase,0.02269973643104517,0.02269973643104517
CB,Pyruvate Dehydrogenase,-0.0007120448191254014,0.0007120448191254014
CB,TCA Cycle,-0.008984463054582836,0.008984463054582836
CB,Fatty Acid Oxidation,-0.015276352753860273,0.015276352753860273
CB,Fatty Acid Synthesis,0.00022510577356182893,0.00022510577356182893
PA,Glycolysis,-0.06246220714068289,0.06246220714068289
PA,Oxidative PPP,-0.143576801558501,0.143576801558501
PA,Non oxidative PPP,-0.15767746675389127,0.15767746675389127
PA,Lactate Dehydrogenase,-0.15332809392203461,0.15332809392203461
PA,Pyruvate Dehydrogenase,-0.10137210169180154,0.10137210169180154
PA,TCA Cycle,-0.07464975456441995,0.07464975456441995
PA,Fatty Acid Oxidation,-0.053357103370788986,0.053357103370788986
PA,Fatty Acid Synthesis,-0.1788935354145878,0.1788935354145878
GUT,Glycolysis,0.050000096312338926,0.050000096312338926
GUT,Oxidative PPP,0.019104495594238213,0.019104495594238213
GUT,Non oxidative PPP,0.02914677181759945,0.02914677181759945
GUT,Lactate Dehydrogenase,0.07949105699535897,0.07949105699535897
GUT,Pyruvate Dehydrogenase,0.0009335590986135345,0.0009335590986135345
GUT,TCA Cycle,0.056574930848661775,0.056574930848661775
GUT,Fatty Acid Oxidation,0.037589430320285305,0.037589430320285305
GUT,Fatty Acid Synthesis,0.00132799723272492,0.00132799723272492
TH,Glycolysis,0.020328573409583273,0.020328573409583273
TH,Oxidative PPP,0.007831679621493393,0.007831679621493393
TH,Non oxidative PPP,0.02058025288346972,0.02058025288346972
TH,Lactate Dehydrogenase,0.10285402554667888,0.10285402554667888
TH,Pyruvate Dehydrogenase,-0.023209277603636447,0.023209277603636447
TH,TCA Cycle,0.0013568412316717349,0.0013568412316717349
TH,Fatty Acid Oxidation,0.0014490150445643918,0.0014490150445643918
TH,Fatty Acid Synthesis,-1.194694510792127e-05,1.194694510792127e-05
LUN,Glycolysis,-0.009647349468499572,0.009647349468499572
LUN,Oxidative PPP,-0.004599137213189941,0.004599137213189941
LUN,Non oxidative PPP,-0.006986327307410098,0.006986327307410098
LUN,Lactate Dehydrogenase,-0.015635226296807525,0.015635226296807525
LUN,Pyruvate Dehydrogenase,-0.01422662989743019,0.01422662989743019
LUN,TCA Cycle,-0.010331556663525893,0.010331556663525893
LUN,Fatty Acid Oxidation,-0.009690570145899094,0.009690570145899094
LUN,Fatty Acid Synthesis,0.004961720001988287,0.004961720001988287
DP,Glycolysis,0.0452976387388922,0.0452976387388922
DP,Oxidative PPP,0.012178855376207692,0.012178855376207692
DP,Non oxidative PPP,0.003946981625838189,0.003946981625838189
DP,Lactate Dehydrogenase,0.09007944348552233,0.09007944348552233
DP,Pyruvate Dehydrogenase,0.019423395093522866,0.019423395093522866
DP,TCA Cycle,0.07980254796459912,0.07980254796459912
DP,Fatty Acid Oxidation,0.06455580671500444,0.06455580671500444
DP,Fatty Acid Synthesis,0.01134341116547477,0.01134341116547477
HC,Glycolysis,0.07586920450966539,0.07586920450966539
HC,Oxidative PPP,0.010981799985402163,0.010981799985402163
HC,Non oxidative PPP,0.0055128870025584475,0.0055128870025584475
HC,Lactate Dehydrogenase,0.029699660628564106,0.029699660628564106
HC,Pyruvate Dehydrogenase,-0.013854908462518245,0.013854908462518245
HC,TCA Cycle,0.008915863639157195,0.008915863639157195
HC,Fatty Acid Oxidation,0.006140042215904265,0.006140042215904265
HC,Fatty Acid Synthesis,-0.00236958516703234,0.00236958516703234
