,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis
Glycolysis,1.0,0.07220865661133877,0.16414668122265627,0.68743803368397,0.43408174364198,0.39639640631376544,0.04452844123546579,0.19559559425899523
Oxidative_PPP,0.07220865661133877,1.0,0.9534877971517142,0.15440234384769547,0.7585856990877415,0.42561883531345845,0.4589504335299155,0.9284199921870736
Non_oxidative_PPP,0.16414668122265627,0.9534877971517142,1.0,0.15751995048154477,0.8373268617800782,0.5444516289149758,0.5233444208451945,0.9261701020075872
Lactate_Dehydrogenase,0.68743803368397,0.15440234384769547,0.15751995048154477,1.0,0.3704915375916005,0.5390001204571608,0.280257322007279,0.2398107724626371
Pyruvate_Dehydrogenase,0.43408174364198,0.7585856990877415,0.8373268617800782,0.3704915375916005,1.0,0.7618006994409577,0.6349865561141649,0.831989988787304
TCA_Cycle,0.39639640631376544,0.42561883531345845,0.5444516289149758,0.5390001204571608,0.7618006994409577,1.0,0.8706386202524206,0.4809556319605507
Fatty_Acid_Oxidation,0.04452844123546579,0.4589504335299155,0.5233444208451945,0.280257322007279,0.6349865561141649,0.8706386202524206,1.0,0.4308092437074496
Fatty_Acid_Synthesis,0.19559559425899523,0.9284199921870736,0.9261701020075872,0.2398107724626371,0.831989988787304,0.4809556319605507,0.4308092437074496,1.0
