Pathway,Mean,SD
Glycolysis,0.3864997576688291,0.1747143344886258
Oxidative_PPP,0.20528230135335968,0.20357255994879955
Non_oxidative_PPP,0.192927100542674,0.22946156839073728
Lactate_Dehydrogenase,0.5557083606573412,0.259199922971256
Pyruvate_Dehydrogenase,0.28622666826891824,0.19059869426189555
TCA_Cycle,0.3372986459372796,0.18324166778157672
Fatty_Acid_Oxidation,0.2575513432350998,0.2144477593280665
Fatty_Acid_Synthesis,0.1819130078186192,0.20778403626115818
