Pathway,Mean,Median,SD,Min,Max,N
Glycolysis,0.3864997576688291,0.4222409472920279,0.1747143344886258,0.05,0.8762151974505404,245
Oxidative_PPP,0.20528230135335968,0.1145508074053365,0.20357255994879955,0.0606336510495724,0.9692525270707908,245
TCA_Cycle,0.3372986459372796,0.3052314439604259,0.18324166778157672,0.05,0.9458894426663482,245
Pyruvate_Dehydrogenase,0.28622666826891824,0.257719299327709,0.19059869426189555,0.05,1.0,245
Fatty_Acid_Oxidation,0.2575513432350998,0.1367841969580921,0.2144477593280665,0.05,0.9854193703623636,245
Fatty_Acid_Synthesis,0.1819130078186192,0.1132445018105934,0.20778403626115818,0.05,0.9618657982308542,245
