Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,2070.2982786749762,1457.4054502678514,1531.4311516101914,1531.5980310524753,1534.6906940876743,1538.2721415894284,1457.3596571158985,1516.9279744721462,1531.284119362084,1531.4215224612265,1534.3762943951397
Thres,,,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702
p_value,,,0.0,6.970243826847646e-280,1.5032657352503032e-295,1.385786324756748e-295,3.0672979712582116e-296,5.3488807096462196e-297,7.127429230577394e-280,1.769897920666191e-292,1.614998756998802e-295,1.5103405664770784e-295,3.5755152566305487e-296
Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),50.43290859656874,45.11297500750241,55.61910601813332,45.06903715670876,46.0710933535619,56.55053209767036,45.11316777967203,46.30550452325856,55.61990803269921,45.06939657890506,56.16820746555645,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),79.7024629732891,199.99034837867305,120.04721658474688,144.3322037224157,125.41620434832944,121.08314169146831,199.99555653920766,124.95220494868917,120.06261434412869,144.34446008551572,120.72292267094136,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),91.16953011549144,164.86384078875383,124.09044875458798,128.32137303235152,114.35561308589472,112.29296692807273,164.86353493644435,115.53371565566803,124.09055026481198,128.32139510904128,112.24665873258482,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),133.09464513640464,199.69360702091825,199.95756428363856,199.67953849335046,199.71308410951175,199.99435508003432,199.69596835907183,198.83612091669337,199.97202664812383,199.68691138273616,200.00000000077142,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),73.44869874511102,199.81095626520292,105.74063966663716,199.59982387052221,130.61558564789908,199.65268393492937,199.81423739190885,129.38832626458344,105.75427237853171,199.60679071314453,199.71848262453065,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),55.56606120959187,164.68300606005255,85.20775262449358,173.37074281775963,103.52883926316026,171.95871944202207,164.6827158267954,103.97762940294494,85.20697944883786,173.37068689713303,172.98638802904335,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
r7_tpi,DHAP-->GAP,(kegg:R01015f),87.22625584934624,190.39436420529844,20.507340666103584,26.239420976392434,22.676756900801568,26.51730590363025,190.39368565116644,22.637814271137824,20.49603361189697,26.23611398318703,26.814506206859946,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r8_tpi,GAP-->DHAP,(kegg:R01015r),67.25616729012687,160.24588895405316,0.004330634146938831,8.554708119235906e-06,0.04515656105039474,0.010562659527566303,160.2454495293207,0.020223810254273302,0.004326427279312992,1.0423342967180462e-05,0.009296520966821244,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r9_gapdh,GAP-->m3PG+NADH+ATP,(kegg:R01061f),312.6805289467411,65.27721699342528,497.3536369519001,302.73508206112496,326.6364929844522,480.53169429277875,65.28390749866925,324.49434712555797,497.35595850874694,302.73624802566246,479.563247329142,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r10_gapdh,m3PG+NADH+ATP-->GAP,(kegg:R01061r),260.15295051314183,7.022941407304966e-05,444.02968027180754,245.1574634053289,268.9050686988102,416.87909169101295,0.004399830535016398,268.46995601872726,444.02934396924684,245.15752123003838,416.8980277191962,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r11_peph,m3PG-->PEP,(kegg:R01512f),294.8063621031928,471.53542632781324,497.42367195374896,330.38738467266717,498.7437595321479,463.4089405154963,471.5360878773577,497.71786323946,497.42762282856546,330.38709946447796,462.2404261674827,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r12_peph,PEP-->m3PG,(kegg:R01512r),245.87514090637984,406.68696680576585,444.26024964109,273.10122590575725,441.17011646809544,399.9197653618446,406.686316858648,441.8541585743016,444.260438638639,273.10121575806426,399.7382250261699,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r13_pk,PEP-->Pyr+ATP,(kegg:R00200),106.86361970386636,95.31249659816288,199.9033911915305,199.81412935855155,199.7873450077051,199.94703364608785,95.31821395478852,198.21268539847887,199.90793476102638,199.81344291928778,198.91277355728465,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r16_pyrdh,Pyr-->AcCOAmit+CO2in+NADH,(kegg:R01196),124.73248159430923,121.6518447708954,121.55161908581374,124.22511195738001,110.9289276563378,128.36689918777617,121.64372975090461,112.20784661782012,121.55533825693234,124.22317959367356,127.98047053644042,free,1.0,1.0,0.0,500.0,ABC-->BC+A,no
