Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,1463.3790426391058,817.8902041462802,877.657638541157,881.6287783369391,884.0378296788128,889.9337150773611,813.5531714387143,877.1600621771203,879.7805614711207,882.8757106373262,889.3987042913955
Thres,,,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702
p_value,,,3.800178007013139e-281,9.006310679851846e-146,3.603750091020139e-158,5.3900939059343e-159,1.7019279761893832e-159,1.0124806917993399e-160,7.121338155998896e-145,4.5722886126550465e-158,1.3051363827863127e-158,2.9679961616386285e-159,1.3080136384999096e-160
Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),55.432295684557864,45.11178295725187,45.000000367727345,57.47827433477747,56.83844476297634,54.99999994255814,45.117922821310756,45.04554990320004,57.179169090396655,56.90460263779818,55.07752313959012,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),128.83095380544057,199.45139471063592,100.37539772257043,93.81052766096259,116.0097271208647,83.65846367010968,199.99999900681894,100.47002534523128,93.56361082671631,116.01018036543555,83.65622622859014,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),133.00749156446454,166.7279223050174,107.49231176867632,97.96004064473945,119.63276090978484,90.59897162899844,166.72336711415562,107.51985274768967,98.09890821848431,119.7011162591241,90.6193865949715,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),125.48282746202946,199.93978375264805,199.9960325933829,199.37632635564876,199.08003887929257,199.9851255060599,199.9699186842485,199.9917691008143,199.70582598139308,199.07358062001083,199.99974643427697,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),103.30400405484406,199.42165361226418,199.7415304778384,199.9973578031984,199.96681663990194,199.62576693200702,199.59854098158564,199.77609901465223,199.91186826434694,199.8918884680973,199.66832601754527,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),80.15849204125554,166.03066440210304,179.7870193121133,176.11671958715937,175.63579230273587,178.49490410285603,166.07261577647742,179.75465936648723,176.44102577482312,175.6648080359327,178.53035663227922,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
r7_tpi,DHAP-->GAP,(kegg:R01015f),82.06881896039363,102.93772231197985,34.045378179741434,193.55058859572725,96.04089685919658,199.84767811683807,103.06730318558976,33.971263272108196,193.55651621328443,95.98921706558545,199.79730869508188,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r8_tpi,GAP-->DHAP,(kegg:R01015r),62.01966210197469,74.50253634229553,14.450669803848218,169.83218233916693,66.7236251549038,183.51737967591822,74.53857796341667,14.44063810481084,170.22817933239986,66.81762037404198,183.5140476602056,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r9_gapdh,GAP-->m3PG+NADH+ATP,(kegg:R01061f),77.28355512256906,62.1600985113213,81.46586025460631,61.61412007250731,83.20798638757455,51.49684709868882,62.334734501524615,81.50983881950495,60.86258902931177,82.95334171619886,51.47425980635676,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r10_gapdh,m3PG+NADH+ATP-->GAP,(kegg:R01061r),20.42786136425535,0.00016492920459001533,28.380928107072485,0.0,15.582661283072575,4.345980631172489e-07,0.15543741802086922,28.422140478730856,0.0603397182574215,15.595656429564189,0.0024645103906932963,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r11_peph,m3PG-->PEP,(kegg:R01512f),383.6777347898595,494.28118380401224,444.3683506171365,499.6241522102044,491.6920683870269,495.03841129436273,494.22551877347576,444.3669731873906,498.49310913477376,491.4564686273273,495.01860814886845,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r12_peph,PEP-->m3PG,(kegg:R01512r),327.97502578937235,434.13185112928994,391.4776190404293,438.16573799923174,424.21203234678774,443.6778231778611,434.0485326273073,391.4760882206533,437.8356026236649,424.242129296264,443.6831982168797,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r13_pk,PEP-->Pyr+ATP,(kegg:R00200),81.90672997095994,139.33318546026925,198.71710752885525,197.2684466218432,199.56703597120605,198.38256092414298,139.25776440790636,198.73274466765872,197.1248413159895,199.52036883508964,198.43332028170386,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r16_pyrdh,Pyr-->AcCOAmit+CO2in+NADH,(kegg:R01196),126.06890221221278,105.03165393881102,104.60608132533041,106.97357349886744,116.7423932680574,86.5441668599091,105.1211160972966,104.69804710554442,107.60276323225033,117.05301277225638,86.57500009920636,free,1.0,1.0,0.0,500.0,ABC-->BC+A,no
r17_cs,AcCOAmit+Oxa-->Cit,(kegg:R00351),126.89783983789019,105.13069969659082,105.2018202178303,106.97359189135128,116.74239326805738,86.54416686541052,105.22047621131186,105.28020591834198,107.60528389096905,117.06402095388273,86.57541754485709,free,1.0,1.0,0.0,500.0,AB+CDEF-->FEDBAC,no
r18_idh,Cit-->aKG+CO2in+NADH,(kegg:R00709f),207.1615674549651,299.6362992159688,126.5713948203036,115.34916259647567,218.63249024217555,279.4675689810992,299.7266430563439,126.66931331193166,115.11844723174053,218.80452674214558,279.40945850311175,free,1.0,1.0,0.0,500.0,ABCDEF-->ABCDE+F,no
r19_idh,aKG+CO2in+NADH-->Cit,(kegg:R00709r),107.94313241908377,199.99855481723364,26.578850600584406,15.38397343127704,118.86203193221851,199.9944430876433,199.8734472702015,26.669313504846084,15.352768878758566,118.89491736008196,199.98867559000826,free,1.0,1.0,0.0,200.0,ABCDE+F-->ABCDEF,no
r20_akgdh,aKG-->Suc+CO2in+ATP+NADH,(kegg:R01197),79.91430202950849,88.20381977634335,96.9737533168986,99.40200891069209,95.74367009410817,73.66849905736095,88.53136052256409,96.99553681861767,99.48125416274931,95.83816334460911,73.68259381111326,free,1.0,1.0,0.0,500.0,ABCDE-->BCDE+A,no
r21_sdh,Suc-->Fum+{0.6}NADH,(kegg:R02164f),304.6288343231975,91.51865985627647,96.9757467026503,99.41781659896641,467.4288217596499,155.18755078162542,91.79757002061082,97.00707562826993,99.77663250993403,467.5671980101457,155.20577560609337,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r22_sdh,Fum+{0.6}NADH-->Suc,(kegg:R02164r),224.71453229368905,3.3148400799331217,0.0019933857516842303,0.015807688274302976,371.68515166554175,81.51905172426447,3.2662094980467296,0.011538809652253278,0.295378347184707,371.72903466553663,81.52318179498009,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r23_fh,Fum-->Mal,(kegg:R01082f),386.22513920477525,494.8505227397833,496.2369369345455,498.42369843028064,499.92190210050563,499.7843708944285,495.21837484526804,496.2500248144183,497.83620266524173,499.96252246096833,499.80238211533083,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r24_fh,Mal-->Fum,(kegg:R01082r),306.3108371752668,406.64670296343996,399.26318361764686,399.02168951958856,404.1782320063975,426.1158718370675,406.68701432270393,399.2544879958006,398.3549485024924,404.1243591163592,426.11978830421754,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r25_mdh,Mal-->Oxa+NADH,(kegg:R00343f),184.8006996945118,0.8410939699189958,114.5553722026862,383.32163225125305,23.344870687654264,101.42064404120813,0.7192270757570985,114.45117249497734,382.7132756649678,23.443271895674172,101.43883138529698,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r26_mdh,Oxa+NADH-->Mal,(kegg:R00343r),184.67297922840882,76.34666683992127,154.32215606133587,417.3380141625823,123.34342995075563,132.33429513445148,76.32128434694229,154.23106112410417,417.7858074998102,123.35389699273219,132.33167953982993,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
r27_pc,Pyr+CO2in+ATP-->Oxa,(kegg:R00344),128.62634602311647,180.6362809743792,290.7940813059303,264.4606257223306,245.7894762978089,236.04166870406178,180.8953992733134,290.84420052775965,265.8136082591816,246.04777821747314,236.06519015426827,free,1.0,1.0,0.0,500.0,ABC+D-->ABCD,no
