Name	Spectrum	Select	MDV	Std
UMPbrain	m0	1	0.5665	1
UMPbrain	m1	1	0.0831	1
UMPbrain	m2	1	0.0393	1
UMPbrain	m3	1	0.0358	1
UMPbrain	m4	1	0.0393	1
UMPbrain	m5	1	0.0455	1
UMPbrain	m6	1	0.0608	1
UMPbrain	m7	1	0.0514	1
UMPbrain	m8	1	0.0511	1
UMPbrain	m9	1	0.0272	1
Uridinebrain	m0	1	0.5861	1
Uridinebrain	m1	1	0.0719	1
Uridinebrain	m2	1	0.0310	1
Uridinebrain	m3	1	0.0354	1
Uridinebrain	m4	1	0.0402	1
Uridinebrain	m5	1	0.0477	1
Uridinebrain	m6	1	0.0528	1
Uridinebrain	m7	1	0.0533	1
Uridinebrain	m8	1	0.0528	1
Uridinebrain	m9	1	0.0288	1
UMPliver	m0	1	0.4954	1
UMPliver	m1	1	0.1043	1
UMPliver	m2	1	0.0488	1
UMPliver	m3	1	0.0564	1
UMPliver	m4	1	0.0599	1
UMPliver	m5	1	0.0748	1
UMPliver	m6	1	0.0712	1
UMPliver	m7	1	0.0471	1
UMPliver	m8	1	0.0303	1
UMPliver	m9	1	0.0119	1
Uridineliver	m0	1	0.5227	1
Uridineliver	m1	1	0.0743	1
Uridineliver	m2	1	0.0466	1
Uridineliver	m3	1	0.0566	1
Uridineliver	m4	1	0.0607	1
Uridineliver	m5	1	0.0765	1
Uridineliver	m6	1	0.0730	1
Uridineliver	m7	1	0.0471	1
Uridineliver	m8	1	0.0305	1
Uridineliver	m9	1	0.0120	1
UMPlung	m0	1	0.5294	1
UMPlung	m1	1	0.0815	1
UMPlung	m2	1	0.0522	1
UMPlung	m3	1	0.0522	1
UMPlung	m4	1	0.0577	1
UMPlung	m5	1	0.0711	1
UMPlung	m6	1	0.0680	1
UMPlung	m7	1	0.0454	1
UMPlung	m8	1	0.0304	1
UMPlung	m9	1	0.0121	1
Uridinelung	m0	1	0.5231	1
Uridinelung	m1	1	0.0849	1
Uridinelung	m2	1	0.0541	1
Uridinelung	m3	1	0.0542	1
Uridinelung	m4	1	0.0600	1
Uridinelung	m5	1	0.0724	1
Uridinelung	m6	1	0.0641	1
Uridinelung	m7	1	0.0459	1
Uridinelung	m8	1	0.0299	1
Uridinelung	m9	1	0.0114	1
Uridine	m0	1	0.6464	1
Uridine	m1	1	0.0857	1
Uridine	m2	1	0.0416	1
Uridine	m3	1	0.0401	1
Uridine	m4	1	0.0420	1
Uridine	m5	1	0.0461	1
Uridine	m6	1	0.0435	1
Uridine	m7	1	0.0274	1
Uridine	m8	1	0.0202	1
Uridine	m9	1	0.0071	1
