Name	Spectrum	Select	MDV	Std
UMPbrain	m0	1	0.5907	1
UMPbrain	m1	1	0.0809	1
UMPbrain	m2	1	0.0315	1
UMPbrain	m3	1	0.0394	1
UMPbrain	m4	1	0.0346	1
UMPbrain	m5	1	0.0512	1
UMPbrain	m6	1	0.0492	1
UMPbrain	m7	1	0.0492	1
UMPbrain	m8	1	0.0494	1
UMPbrain	m9	1	0.0239	1
Uridinebrain	m0	1	0.6142	1
Uridinebrain	m1	1	0.0742	1
Uridinebrain	m2	1	0.0309	1
Uridinebrain	m3	1	0.0335	1
Uridinebrain	m4	1	0.0375	1
Uridinebrain	m5	1	0.0448	1
Uridinebrain	m6	1	0.0472	1
Uridinebrain	m7	1	0.0474	1
Uridinebrain	m8	1	0.0457	1
Uridinebrain	m9	1	0.0246	1
UMPliver	m0	1	0.4890	1
UMPliver	m1	1	0.0748	1
UMPliver	m2	1	0.0454	1
UMPliver	m3	1	0.0544	1
UMPliver	m4	1	0.0611	1
UMPliver	m5	1	0.0801	1
UMPliver	m6	1	0.0819	1
UMPliver	m7	1	0.0565	1
UMPliver	m8	1	0.0397	1
UMPliver	m9	1	0.0171	1
Uridineliver	m0	1	0.5022	1
Uridineliver	m1	1	0.0714	1
Uridineliver	m2	1	0.0424	1
Uridineliver	m3	1	0.0541	1
Uridineliver	m4	1	0.0605	1
Uridineliver	m5	1	0.0796	1
Uridineliver	m6	1	0.0796	1
Uridineliver	m7	1	0.0555	1
Uridineliver	m8	1	0.0382	1
Uridineliver	m9	1	0.0165	1
UMPlung	m0	1	0.5209	1
UMPlung	m1	1	0.0805	1
UMPlung	m2	1	0.0515	1
UMPlung	m3	1	0.0541	1
UMPlung	m4	1	0.0591	1
UMPlung	m5	1	0.0722	1
UMPlung	m6	1	0.0688	1
UMPlung	m7	1	0.0480	1
UMPlung	m8	1	0.0317	1
UMPlung	m9	1	0.0133	1
Uridinelung	m0	1	0.5190	1
Uridinelung	m1	1	0.0802	1
Uridinelung	m2	1	0.0487	1
Uridinelung	m3	1	0.0535	1
Uridinelung	m4	1	0.0594	1
Uridinelung	m5	1	0.0745	1
Uridinelung	m6	1	0.0688	1
Uridinelung	m7	1	0.0498	1
Uridinelung	m8	1	0.0335	1
Uridinelung	m9	1	0.0127	1
Uridine	m0	1	0.6379	1
Uridine	m1	1	0.0850	1
Uridine	m2	1	0.0395	1
Uridine	m3	1	0.0456	1
Uridine	m4	1	0.0438	1
Uridine	m5	1	0.0440	1
Uridine	m6	1	0.0493	1
Uridine	m7	1	0.0304	1
Uridine	m8	1	0.0200	1
Uridine	m9	1	0.0045	1
