Name	Spectrum	Select	MDV	Std
UMPbrain	m0	1	0.6026	1
UMPbrain	m1	1	0.0863	1
UMPbrain	m2	1	0.0330	1
UMPbrain	m3	1	0.0326	1
UMPbrain	m4	1	0.0326	1
UMPbrain	m5	1	0.0355	1
UMPbrain	m6	1	0.0524	1
UMPbrain	m7	1	0.0490	1
UMPbrain	m8	1	0.0502	1
UMPbrain	m9	1	0.0257	1
Uridinebrain	m0	1	0.6521	1
Uridinebrain	m1	1	0.0750	1
Uridinebrain	m2	1	0.0259	1
Uridinebrain	m3	1	0.0264	1
Uridinebrain	m4	1	0.0302	1
Uridinebrain	m5	1	0.0378	1
Uridinebrain	m6	1	0.0408	1
Uridinebrain	m7	1	0.0433	1
Uridinebrain	m8	1	0.0443	1
Uridinebrain	m9	1	0.0241	1
UMPliver	m0	1	0.4825	1
UMPliver	m1	1	0.0727	1
UMPliver	m2	1	0.0489	1
UMPliver	m3	1	0.0581	1
UMPliver	m4	1	0.0636	1
UMPliver	m5	1	0.0838	1
UMPliver	m6	1	0.0838	1
UMPliver	m7	1	0.0542	1
UMPliver	m8	1	0.0367	1
UMPliver	m9	1	0.0156	1
Uridineliver	m0	1	0.5012	1
Uridineliver	m1	1	0.0705	1
Uridineliver	m2	1	0.0447	1
Uridineliver	m3	1	0.0568	1
Uridineliver	m4	1	0.0612	1
Uridineliver	m5	1	0.0814	1
Uridineliver	m6	1	0.0803	1
Uridineliver	m7	1	0.0530	1
Uridineliver	m8	1	0.0362	1
Uridineliver	m9	1	0.0147	1
UMPlung	m0	1	0.5163	1
UMPlung	m1	1	0.0781	1
UMPlung	m2	1	0.0484	1
UMPlung	m3	1	0.0515	1
UMPlung	m4	1	0.0566	1
UMPlung	m5	1	0.0760	1
UMPlung	m6	1	0.0749	1
UMPlung	m7	1	0.0513	1
UMPlung	m8	1	0.0336	1
UMPlung	m9	1	0.0133	1
Uridinelung	m0	1	0.5115	1
Uridinelung	m1	1	0.0782	1
Uridinelung	m2	1	0.0507	1
Uridinelung	m3	1	0.0549	1
Uridinelung	m4	1	0.0582	1
Uridinelung	m5	1	0.0786	1
Uridinelung	m6	1	0.0715	1
Uridinelung	m7	1	0.0499	1
Uridinelung	m8	1	0.0331	1
Uridinelung	m9	1	0.0132	1
Uridine	m0	1	0.6186	1
Uridine	m1	1	0.0793	1
Uridine	m2	1	0.0409	1
Uridine	m3	1	0.0422	1
Uridine	m4	1	0.0489	1
Uridine	m5	1	0.0578	1
Uridine	m6	1	0.0536	1
Uridine	m7	1	0.0278	1
Uridine	m8	1	0.0210	1
Uridine	m9	1	0.0098	1
