Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,2138.214418268689,1364.6970510848091,1398.440284033688,1400.474956773762,1405.0230284362208,1409.1846322774286,1363.8660503406145,1399.83952494702,1404.865104579467,1408.2744094446032,1423.7793661460178
Thres,,,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702
p_value,,,0.0,2.710632789459372e-260,2.027997444270036e-267,7.537429530466951e-268,8.24777436664036e-269,1.0889930263063196e-269,4.059771716004462e-260,1.0267535242219407e-267,8.906423196396428e-269,1.6957179818245612e-269,8.968442874430845e-273
Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),47.12593241157088,52.145887989839416,54.99989302255658,51.75084571970888,45.00000533396805,45.37408678943489,52.149414390221054,51.748106437832035,45.00252874507582,45.3815633264307,45.013825122177366,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),37.56391975247329,105.72469846680681,127.30192691409611,113.98587524706069,132.58068279472747,78.16645169873348,105.7905350960894,113.98017406903143,132.58764953505104,78.17227818313279,111.46638322535668,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),40.50709222324319,109.6523220884166,128.21819992244926,115.91062293837807,144.03448469691654,87.50785756783424,109.66049002691634,115.90184900747072,144.0320221019148,87.50721002487708,117.48108329045246,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),59.419420918373106,195.35428121789948,198.46512224157263,197.88844918309763,198.86618298278378,198.93184226816336,195.40737278748324,197.89132514926484,198.87250595749282,198.93065763029554,199.3226799561172,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),68.16254886116411,197.54854216097257,199.12751031806403,196.86923038699084,199.71232074612453,196.93980757652574,197.60109780335466,196.87974230103504,199.7193500524947,196.93584213443447,199.23460811464693,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),47.52281956487999,178.86841308408265,177.8117447553678,175.96855219703667,184.89002399126304,180.2576090274568,178.8817663311027,175.9982808249025,184.89103780430398,180.26940966306728,180.55333241784686,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
r7_tpi,DHAP-->GAP,(kegg:R01015f),51.374021452714686,14.286547301314677,16.318707763754436,15.901867521020948,12.204898305618798,68.63816753534049,14.219392885099232,15.886681787268802,12.19971292697408,68.61159912605545,13.688904898690145,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r8_tpi,GAP-->DHAP,(kegg:R01015r),31.022119088434735,0.4987786423381998,0.0018641718615511852,0.0,2.371762290514923,56.953558569408294,0.49751012795147276,0.0019523601651613499,2.37124871678535,56.945073794659066,5.123261506624656e-06,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r9_gapdh,GAP-->m3PG+NADH+ATP,(kegg:R01061f),233.00200196839523,322.73917190126514,308.63815279103494,498.3642343829815,122.05860741989149,493.4055190130721,322.71338789344065,498.32703520022443,122.06103653773353,493.36349589340466,213.6392708585361,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r10_gapdh,m3PG+NADH+ATP-->GAP,(kegg:R01061r),180.21891942430418,278.96739781614883,259.88952435092114,450.1489757313706,84.26512532140087,452.0269092889861,278.9775304625015,450.1592760897023,84.26791767182685,452.02985593408533,168.92110750535946,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r11_peph,m3PG-->PEP,(kegg:R01512f),247.66078243278028,488.2347752079835,369.5635292235449,297.07255215157613,404.4090808503827,102.46997818293724,488.20286029273046,297.02767462375874,404.4073791833101,102.42852695353258,410.2504251642492,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r12_peph,PEP-->m3PG,(kegg:R01512r),195.53824490029544,444.5651806157811,320.9185091578278,248.95814322852337,366.71436718299054,61.23923160430717,444.57065657160433,248.96118746045337,366.7139331543126,61.244637365328785,365.6331709650974,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r13_pk,PEP-->Pyr+ATP,(kegg:R00200),76.88614409442111,191.86054546499557,199.96854317362732,182.56100909887132,199.99098847496046,174.13205634716493,191.848740695016,182.5446681895983,199.9891390389585,174.12078067951728,199.83661224387566,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r16_pyrdh,Pyr-->AcCOAmit+CO2in+NADH,(kegg:R01196),124.83720668836021,122.04177035670034,124.74630754640032,125.17954753143042,118.665280727789,118.96686201182635,122.06787714940282,125.24578069479472,118.67314399151611,119.104800815427,127.45687015238346,free,1.0,1.0,0.0,500.0,ABC-->BC+A,no
