Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,1677.329894884715,1110.254023220993,1110.787700678577,1131.5051504161866,1141.036221781062,1215.8229996461644,1101.5631390082378,1109.9481379443241,1128.791334587134,1140.973353782165,1215.1543054891588
Thres,,,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702,55.75847927888702
p_value,,,0.0,9.657359399992156e-207,7.463282283826756e-207,3.3604411730134583e-211,3.356138683150559e-213,6.442122160783901e-229,6.417038546343412e-205,1.1194663895553491e-206,1.2471410298491595e-210,3.459693927919143e-213,8.906399317200744e-229
Id,Reaction,External ids,template,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,GN_CRS2_LM,SLSQP,SLSQP,SLSQP,SLSQP,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1_hk,Glc+ATP-->G6P,(kegg:R02848),56.08084635934667,45.82407443994377,46.6839694945362,45.018441951214776,45.43539278251806,45.56343044736157,45.596592485697734,46.690420772025334,45.027123953597496,45.43628909065032,45.578444458747974,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r2_pgi,G6P-->F6P,(kegg:R00771f),145.22856709087313,137.810941765827,134.35437927197637,195.06920701405784,172.59954650792034,151.48332785589554,137.19847909549094,134.44651299045967,195.26807350287254,172.6030777910273,151.4937817103407,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r3_pgi,F6P-->G6P,(kegg:R00771r),135.009786100273,139.52867313923662,134.4721731773009,183.51784103654205,178.06394335808415,143.84772411729142,139.85984566150637,134.4937055358518,183.4866220591079,178.0632582234904,143.874141701203,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r4_pfk,F6P+ATP-->FBP,(kegg:R00756),112.03448137557646,198.4004050887287,199.92856030160124,199.73146446659013,199.41173027660665,197.82610201965295,198.31206476251043,199.9999999884989,199.7464986408286,199.4155671500972,197.79163402290325,free,1.0,1.0,0.0,200.0,ABCDEF-->ABCDEF,no
r5_fba,FBP-->DHAP+GAP,(kegg:R01068f),120.64918942558958,199.8914184279466,199.49899038001055,198.93337032482367,199.99163039834627,199.96270834262194,199.90381554983048,199.57360771316098,199.11847542785387,199.99631301807136,199.96756128203546,free,1.0,1.0,0.0,200.0,ABCDEF-->CBA+DEF,no
r6_fba,DHAP+GAP-->FBP,(kegg:R01068r),95.61768891462344,178.4649459387599,178.26052821694424,173.58200344010754,180.8417921174086,175.69809655607924,179.42885572671858,178.277905538601,173.74982944935152,180.84319138291855,175.72570911440698,free,1.0,1.0,0.0,200.0,CBA+DEF-->ABCDEF,no
r7_tpi,DHAP-->GAP,(kegg:R01015f),80.8277399645992,16.432264050197183,17.732466825331166,20.60809230395342,16.475282176413348,193.8944130710615,16.430822779234184,17.681967511960345,20.584368866262057,16.471500413859545,193.85270486477935,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r8_tpi,GAP-->DHAP,(kegg:R01015r),54.53198343214038,0.0036688166618284146,4.2717266313605735e-05,0.15738898471457502,0.0,171.1503672058657,0.002034213758214886,0.0004080835344508545,0.15911071430336002,1.7466540058468176e-05,171.1645091008849,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r9_gapdh,GAP-->m3PG+NADH+ATP,(kegg:R01061f),80.96865627818362,493.68811996679153,391.50594371985477,272.34574049193617,249.42767358735412,73.11847417105372,492.60672637585196,391.4692233508231,272.2710191083411,249.42488517168695,73.05331375404732,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r10_gapdh,m3PG+NADH+ATP-->GAP,(kegg:R01061r),22.235039474575622,444.26095031277134,341.85692941452817,219.643669834381,201.4954355644523,17.79531249534594,444.1348147927004,341.8205143878611,219.68351771051118,201.49362955540667,17.81215974327902,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r11_peph,m3PG-->PEP,(kegg:R01512f),247.77642015050316,287.2074743553569,347.4909790981835,457.0294869129908,266.1929430469757,184.63653005655533,285.59753202658936,347.4739040671128,456.8613430011928,266.1908069255665,184.5989540509201,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r12_peph,PEP-->m3PG,(kegg:R01512r),190.5112428095033,237.8801111541881,297.9429756836072,404.427900627251,218.35942393871935,129.4154711501976,237.22515644486975,297.92390162032046,404.37303044809147,218.35889233022732,129.46009913403208,free,1.0,1.0,0.0,500.0,ABC-->ABC,no
r13_pk,PEP-->Pyr+ATP,(kegg:R00200),95.59569515219422,190.2990037555806,197.84362895045567,190.67829873564355,182.84676064835776,175.43402571175895,188.31258332988088,197.86234566384414,190.63486214606343,182.84737495317322,175.36698676466312,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r16_pyrdh,Pyr-->AcCOAmit+CO2in+NADH,(kegg:R01196),125.49720247059211,122.88847831250577,122.25976477955449,123.63201420197903,124.92192791532263,127.02555442569763,124.56458387412434,122.27375869976154,123.77547527168737,124.92408928345293,127.02220853180954,free,1.0,1.0,0.0,500.0,ABC-->BC+A,no
r17_cs,AcCOAmit+Oxa-->Cit,(kegg:R00351),126.75783152608425,122.8886335913715,122.25977263983992,123.63201425315862,124.92192815170102,127.02564795336116,124.56465552643984,122.2737676327028,123.77551429597683,124.92408951976375,127.02234145638147,free,1.0,1.0,0.0,500.0,AB+CDEF-->FEDBAC,no
r18_idh,Cit-->aKG+CO2in+NADH,(kegg:R00709f),147.28905871691433,238.8962519414069,292.71605374404623,242.1871708341063,243.57635913112148,283.96668563983326,238.64770106625366,292.7083663781084,242.37353530415038,243.576729552472,283.9615108100104,free,1.0,1.0,0.0,500.0,ABCDEF-->ABCDE+F,no
r19_idh,aKG+CO2in+NADH-->Cit,(kegg:R00709r),47.90683653118043,139.93661697725798,194.98959842643296,142.57461715634753,143.57779353356554,184.51342700410862,139.08305874571025,194.9769184928796,142.52139942739024,143.57727653883134,184.5160623426157,free,1.0,1.0,0.0,200.0,ABCDE+F-->ABCDEF,no
r20_akgdh,aKG-->Suc+CO2in+ATP+NADH,(kegg:R01197),82.47509527039932,88.04642060195118,82.25074814748427,86.80341135847743,81.85652064881805,83.80082396915685,88.82014221710588,82.25265763487863,86.98003459971628,81.85724762543802,83.76239829904557,free,1.0,1.0,0.0,500.0,ABCDE-->BCDE+A,no
r21_sdh,Suc-->Fum+{0.6}NADH,(kegg:R02164f),196.4645118657154,88.33415010351054,497.46428934128585,216.76642784997753,495.95951388817736,83.80082397669172,88.99529029063712,497.47746565832404,216.99757175280706,495.96122411314127,83.81103020161305,free,1.0,1.0,0.0,500.0,ABCD-->ABCD,no
