Id,Reaction,External ids,template,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,181.5993685617782,12.23600111582721,13.167607919530113,13.696810292284013,15.078116346913779,17.295903402362892,18.23245250199718,21.628843812575077,22.266038080845167,23.701631722901695,34.44155749331847
Thres,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
p_value,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Id,Reaction,External ids,template,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1001_SubsGlcPeri,SubsGlcPeri-->GlcPeri,(kegg:SubsGlcPeri),200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,fixed,200.0,1.0,0.0,500.0,ABCDEF-->ABCDEF,no
r1002_SubsCO2,SubsCO2-->CO2,(kegg:SubsCO2),727.8474919037938,213.28669394166536,360.87643917205287,927.3383670931798,421.86092003846056,761.3976628904951,779.3042398369948,999.9999998195287,891.7984931425249,702.0522966231918,999.910846130758,free,1.0,1.0,0.0,1000.0,A-->A,no
r1003_SubsLacPeri,SubsLacPeri-->LacPeri,(kegg:SubsLacPeri),10.68397346335226,64.71334896915613,27.002111750553922,125.3351421382863,0.00451403936585848,0.001920103532796702,0.0014437807422496007,157.99573258848045,1.2050804798491299e-11,0.005816277072710818,128.62808802279417,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r1004_SubsAcCOAmit,SubsAcCOAmit-->AcCOAmit,(kegg:SubsAcCOAmit),9.176399858451191,47.492436471508995,23.288361364357286,49.99974609564015,49.886786394383535,1.7797636619447985,49.997939598616654,3.9199640258739237,0.12359210709757917,2.4576458306195264,20.106096228559636,free,50.0,1.0,0.0,50.0,AB-->AB,no
r1005_SubsGly,SubsGly-->Gly,(kegg:SubsGly),1.049654302824763,9.999387368157102,9.999995302619055,9.999999989163427,9.999999799657985,9.999999999999943,9.999974199005123,9.999999999759666,9.999992242893029,9.999999095522341,9.99995313569535,free,5.0,1.0,0.0,10.0,ABC-->ABC,no
r1006_SubsGln,SubsGln-->Gln,(kegg:SubsGln),31.395990448323232,49.418857205433596,45.57237998711764,49.99999999999466,49.999999898926944,49.99999787887805,50.0,49.99999591020355,49.99999994750942,49.999996873177,11.617394178379982,free,30.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
