Id,Reaction,External ids,template,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,170.4887384876738,6.67667028089102,7.9416400547903105,8.627001091370886,10.79164954551519,12.880346490280528,13.578998530597072,13.819462692467736,14.81362682576838,21.20155313736742,32.30323127265592
Thres,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
p_value,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Id,Reaction,External ids,template,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,LN_SBPLX,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r1001_SubsGlcPeri,SubsGlcPeri-->GlcPeri,(kegg:SubsGlcPeri),200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,fixed,200.0,1.0,0.0,500.0,ABCDEF-->ABCDEF,no
r1002_SubsCO2,SubsCO2-->CO2,(kegg:SubsCO2),865.562230893666,225.36439848872203,288.94195879102665,151.8286909973731,763.7322540292165,999.9999853698362,685.9144446994788,999.9999999646851,999.9976681735038,999.9999515101049,819.7225146902041,free,1.0,1.0,0.0,1000.0,A-->A,no
r1003_SubsLacPeri,SubsLacPeri-->LacPeri,(kegg:SubsLacPeri),16.075860233495064,0.0008082340756914164,0.39537950251327914,0.7426778439092079,0.2629326437413937,0.00031578483421412784,0.00848408507893339,3.338440967581846e-05,1.3983481039758772e-11,7.298694981727749e-11,8.30015262353561,free,1.0,1.0,0.0,200.0,ABC-->ABC,no
r1004_SubsAcCOAmit,SubsAcCOAmit-->AcCOAmit,(kegg:SubsAcCOAmit),0.8135484848141914,27.44723696982453,49.99821224005768,42.413062942578904,49.98070510563264,0.00037976942428485927,49.999983534143155,5.983804840070661e-06,0.0019065670064719598,49.99992767324488,3.020201387286761,free,50.0,1.0,0.0,50.0,AB-->AB,no
r1005_SubsGly,SubsGly-->Gly,(kegg:SubsGly),7.50067189169981,0.10188669467373757,9.998087774822494,9.999960537613845,9.999984396148008,9.999992382933584,9.99997343446725,9.9999999805367,9.999998896660372,9.9999333351941,9.998354093384393,free,5.0,1.0,0.0,10.0,ABC-->ABC,no
r1006_SubsGln,SubsGln-->Gln,(kegg:SubsGln),6.946731296564394,49.999795715647195,49.9999979221718,36.19340842263625,49.99971167169906,26.807810131273754,49.999998910755835,32.263967686478054,49.99999998919907,49.999999999996135,49.999995320108724,free,30.0,1.0,0.0,50.0,ABCDE-->ABCDE,no
r1007_SubsAla,SubsAla-->Ala,(kegg:SubsAla),12.1253915865301,49.99589126560693,49.99972070106344,49.97949900256276,49.99998487283597,49.99999868762575,49.99996916997566,12.896638922955617,49.99994631742709,49.999900579157725,3.582236861695378,free,10.0,1.0,0.0,50.0,ABC-->ABC,no
r1008_SubsSer,SubsSer-->Ser,(kegg:SubsSer),43.694286507834846,0.037201114878939734,10.990451227797962,49.396393128732996,2.722508629165034,49.99999983508519,49.99999999997223,46.92958956288311,49.99999999679645,49.99997621059663,0.008433290132273896,free,10.0,1.0,0.0,50.0,ABC-->ABC,no
r1009_SubsUridine,SubsUridine-->Uridine,(kegg:SubsUridine),8.488133779512566,4.837942890457697,5.151105388319749,4.951199980672101,5.424055173401769,5.609153225263142,5.32827930865048,5.50982937539905,4.728594884054516,4.524705197591331,5.601175215067897,fitting,5.0,1.0,0.0,10.0,ABCDEFGHI-->ABCDEFGHI,no
r1010_SubsR5P,SubsR5P-->R5P,(kegg:SubsR5P),2.8898521356708713,5.028282466672003,4.993376451054019,5.011188718750329,4.984516143133995,5.072908691434911,5.115955321324876,4.655023523494535,5.097329051265213,4.211852818982123,5.280048894060177,fitting,5.0,1.0,0.0,10.0,ABCDE-->ABCDE,no
r1011_SubsGlcCn,SubsGlcCn-->GlcCn,(kegg:SubsGlcCn),50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,fixed,50.0,1.0,0.0,100.0,ABCDEF-->ABCDEF,no
r1013_SubsLacCn,SubsLacCn-->LacCn,(kegg:SubsLacCn),22.90615260945043,11.178439940006001,10.675354497253863,6.264844613952592,21.44923576380298,38.982468473342145,23.412459603631028,2.006920434280346,16.595252796488552,0.9960826617199245,0.0001490471563556639,free,1.0,1.0,0.0,50.0,ABC-->ABC,no
r1015_GlcPeri_bbb,GlcPeri-->GlcCn,(kegg:GlcExchange)),661.6337306426575,999.9871466456932,999.5326901457149,999.9225556563591,999.6443114990352,191.62872168941647,999.9959115967908,999.9998959062253,999.9901360127541,999.9999999999999,124.0579127733682,free,0.0,1.0,0.0,1000.0,ABCDEF-->ABCDEF,no
r1016_GlcCn_bbb,GlcCn-->GlcPeri,(kegg:GlcExchange)),635.379934112453,918.5802819928676,1000.0,928.1905924466533,970.603124899149,169.5010717561347,946.5296164942453,936.998042029924,947.351218003108,1000.0,129.73507791305545,free,0.0,1.0,0.0,1000.0,ABCDEF-->ABCDEF,no
r1017_LacPeri_bbb,LacPeri-->LacCn,(kegg:LacExchange)),287.1830724222472,309.0928895087944,160.75065912985235,58.301298680622835,0.0,0.0,18.188346562469725,519.4957374906287,10.560459346074307,301.8167609474327,999.9699930449683,free,0.0,1.0,0.0,1000.0,ABC-->ABC,no
