r093_BCAA_BIO,BCAA-->BCAABiomass,(kegg:BiomassBCAA)
r094_Ala_BIO,Ala-->AlaBiomass,(kegg:BiomassAla)
r095_AcAsp_BIO,AcAsp-->AcAspBiomass,(kegg:BiomassAcAsp)
r096_Glu_BIO,Glu-->GluBiomass,(kegg:BiomassGlu)
r097_Gln_BIO,Gln-->GlnBiomass,(kegg:BiomassGln)
r098_aKG_BIO,aKG-->aKGBiomass,(kegg:BiomassaKG)
r099_Suc_BIO,Suc-->SucBiomass,(kegg:BiomassSuc)
r100_R5P_BIO,R5P-->R5PBiomass,(kegg:BiomassR5P)
ALT,r073_alt<=>r074_alt,(kegg:R00258)
GOT,r067_got<=>r068_got,(kegg:R00355)
GOTMIT,r069_gotmit<=>r070_gotmit,(kegg:R00355)
GLUDH,r063_gludh<=>r064_gludh,(kegg:R00243)
FBA,r023_fba<=>r024_fba,(kegg:R01068)
TPI,r025_tpi<=>r036_tpi,(kegg:R01015)
LDH,r028_ldh<=>r029_ldh,(kegg:R00703)
IDH,r033_idh<=>r034_idh,(kegg:R00709)
SDH,r037_sdh<=>r038_sdh,(kegg:R02164)
FH,r039_fh<=>r040_fh,(kegg:R01082)
MDH,r041_mdh<=>r042_mdh,(kegg:R00342)
MDHcyt,r043_mdh_cyt<=>r044_mdh_cyt,(kegg:MDHcyt)
MALex,r045_MAL_ex<=>r046_MAL_ex,(kegg:MDHex)
RBE,r081_rbe<=>r082_rbe,(kegg:R01529)
RPI,r079_rpi<=>r080_rpi,(kegg:R01056)
TAL,r085_tal<=>r086_tal,(kegg:R08575)
TKT1,r083_tkt1<=>r084_tkt1,(kegg:R01641)
TKT2,r087_tkt2<=>r088_tkt2,(kegg:R01067)
GS,r091_G6P_BIO<=>r003_SubsGlycogen,(kegg:R01015)
R5P,r100_R5P_BIO<=>r010_SubsR5P,(kegg:R5Pbalance)
Experiment,Fragment_Num,Time
ex1,Ala_0,0
ex1,Ala_1,0
ex1,Ala_2,0
ex1,Ala_3,0
ex1,Asp_0,0
ex1,Asp_1,0
ex1,Asp_2,0
ex1,Asp_3,0
ex1,Asp_4,0
ex1,Cit_0,0
ex1,Cit_1,0
ex1,Cit_2,0
ex1,Cit_3,0
ex1,Cit_4,0
ex1,Cit_5,0
ex1,Cit_6,0
ex1,F6P_0,0
ex1,F6P_1,0
ex1,F6P_2,0
ex1,F6P_3,0
ex1,F6P_4,0
ex1,F6P_5,0
ex1,F6P_6,0
ex1,Fum_0,0
ex1,Fum_1,0
ex1,Fum_2,0
ex1,Fum_3,0
ex1,Fum_4,0
ex1,GAP_0,0
ex1,GAP_1,0
ex1,GAP_2,0
ex1,GAP_3,0
ex1,Gln_0,0
ex1,Gln_1,0
ex1,Gln_2,0
ex1,Gln_3,0
ex1,Gln_4,0
ex1,Gln_5,0
ex1,Glu_0,0
ex1,Glu_1,0
ex1,Glu_2,0
ex1,Glu_3,0
ex1,Glu_4,0
ex1,Glu_5,0
ex1,Lac_0,0
ex1,Lac_1,0
ex1,Lac_2,0
ex1,Lac_3,0
ex1,Mal_0,0
ex1,Mal_1,0
ex1,Mal_2,0
ex1,Mal_3,0
ex1,Mal_4,0
ex1,Pyr_0,0
ex1,Pyr_1,0
ex1,Pyr_2,0
ex1,Pyr_3,0
ex1,Ru5P_0,0
ex1,Ru5P_1,0
ex1,Ru5P_2,0
ex1,Ru5P_3,0
ex1,Ru5P_4,0
ex1,Ru5P_5,0
ex1,S7P_0,0
ex1,S7P_1,0
ex1,S7P_2,0
ex1,S7P_3,0
ex1,S7P_4,0
ex1,S7P_5,0
ex1,S7P_6,0
ex1,S7P_7,0
ex1,Suc_0,0
ex1,Suc_1,0
ex1,Suc_2,0
ex1,Suc_3,0
ex1,Suc_4,0
