Metabolite Name,HP-11,HP-14,HP-16,HP-17,HP-19,HP-21,WP-12,WP-15,WP-18,WP-20
Glc_0,0.449011185,0.503440324,0.543061886,0.462994149,0.467706591,0.484338024,0.480622056,0.478880519,0.480653589,0.484424458
Glc_3,0.431024838,0.398432107,0.370988846,0.417698175,0.408390139,0.413473863,0.419636911,0.415434958,0.415855257,0.410109012
Glc_6,0.119963976,0.098127569,0.085949268,0.119307676,0.12390327,0.102188113,0.099741033,0.105684524,0.103491154,0.10546653
Lac_0,0.304602667,0.430926165,0.505905597,0.427944798,0.454334218,0.445074102,0.384613286,0.372348039,0.388230312,0.441200047
Lac_3,0.695397333,0.569073835,0.494094403,0.572055202,0.545665782,0.554925898,0.615386714,0.627651961,0.611769688,0.558799953
