r095_tal,GAP+S7P-->F6P+E4P,(kegg:R08575f)
r096_tal,E4P+F6P-->S7P+GAP,(kegg:R08575r)
r097_tkt2,E4P+Xu5P-->F6P+GAP,(kegg:R01067f)
r098_tkt2,GAP+F6P-->Xu5P+E4P,(kegg:R01067r)
r101_G6P_BIO,G6P-->G6PBiomass,(kegg:BiomassG6P)
r102_DHAP_BIO,DHAP-->DHAPBiomass,(kegg:BiomassDHAP)
r103_BCAA_BIO,BCAA-->BCAABiomass,(kegg:BiomassBCAA)
r104_Ala_BIO,Ala-->AlaBiomass,(kegg:BiomassAla)
r105_AcAsp_BIO,AcAsp-->AcAspBiomass,(kegg:BiomassAcAsp)
r106_Glu_BIO,Glu-->GluBiomass,(kegg:BiomassGlu)
r107_Gln_BIO,Gln-->GlnBiomass,(kegg:BiomassGln)
r108_aKG_BIO,aKG-->aKGBiomass,(kegg:BiomassaKG)
r109_Suc_BIO,Suc-->SucBiomass,(kegg:BiomassSuc)
r110_R5P_BIO,R5P-->R5PBiomass,(kegg:BiomassR5P)
r111_Asp_BIO,Asp-->AspBiomass,(kegg:BiomassAsp)
ALT,r083_alt<=>r084_alt,(kegg:R00258)
GOT,r077_got<=>r078_got,(kegg:R00355)
GOTMIT,r079_gotmit<=>r080_gotmit,(kegg:R00355)
GLUDH,r073_gludh<=>r074_gludh,(kegg:R00243)
PGI,r023_pgi<=>r024_pgi,(kegg:R00771)
GAPDH,r030_gapdh<=>r031_gapdh,(kegg:R01061)
PEPH,r032_peph<=>r033_peph,(kegg:R01512)
FBA,r026_fba<=>r027_fba,(kegg:R01068)
TPI,r028_tpi<=>r029_tpi,(kegg:R01015)
LDH,r038_ldh<=>r039_ldh,(kegg:R00703)
IDH,r043_idh<=>r044_idh,(kegg:R00709)
SDH,r047_sdh<=>r048_sdh,(kegg:R02164)
FH,r049_fh<=>r050_fh,(kegg:R01082)
MDH,r051_mdh<=>r052_mdh,(kegg:R00342)
MDHcyt,r053_mdh_cyt<=>r054_mdh_cyt,(kegg:MDHcyt)
MALex,r055_MAL_ex<=>r056_MAL_ex,(kegg:MDHex)
RBE,r091_rbe<=>r092_rbe,(kegg:R01529)
RPI,r089_rpi<=>r090_rpi,(kegg:R01056)
TAL,r095_tal<=>r096_tal,(kegg:R08575)
TKT1,r093_tkt1<=>r094_tkt1,(kegg:R01641)
TKT2,r097_tkt2<=>r098_tkt2,(kegg:R01067)
GS,r101_G6P_BIO<=>r003_SubsGlycogen,(kegg:R01015)
R5P,r110_R5P_BIO<=>r010_SubsR5P,(kegg:R5Pbalance)
Experiment,Fragment_Num,Time
ex1,Asp_0,0
ex1,Asp_1,0
ex1,Asp_2,0
ex1,Asp_3,0
ex1,Asp_4,0
ex1,Cit_0,0
ex1,Cit_1,0
ex1,Cit_2,0
ex1,Cit_3,0
ex1,Cit_4,0
ex1,Cit_5,0
ex1,Cit_6,0
