Name_M,Name,M,HP-11,HP-14,HP-16,HP-17,HP-19,HP-21,WP-12,WP-15,WP-18,WP-20
Aspm3,Asp,m3,0.1535,0.1055,0.0776,0.1074,0.1018,0.1166,0.1423,0.1428,0.1145,0.1241
Aspm4,Asp,m4,0.0833,0.0395,0.0231,0.0378,0.0357,0.0428,0.0731,0.0722,0.0431,0.053
Glum0,Glu,m0,0.2927,0.3994,0.4824,0.3896,0.4189,0.3776,0.3192,0.3221,0.4037,0.3532
Glum1,Glu,m1,0.1539,0.1937,0.195,0.1997,0.1924,0.1898,0.1589,0.1693,0.1939,0.1804
Glum2,Glu,m2,0.2444,0.2259,0.1987,0.2288,0.2214,0.236,0.2494,0.2475,0.2233,0.2392
Glum3,Glu,m3,0.1683,0.115,0.0843,0.1174,0.1092,0.1225,0.1529,0.1517,0.1156,0.1367
Glum4,Glu,m4,0.0917,0.0479,0.0295,0.0466,0.0415,0.0531,0.0802,0.0735,0.0452,0.0629
Glum5,Glu,m5,0.049,0.0181,0.0101,0.018,0.0164,0.021,0.0394,0.0359,0.0182,0.0275
Glnm0,Gln,m0,0.3614,0.4324,0.4958,0.376,0.4376,0.4196,0.3756,0.37,0.433,0.4086
Glnm1,Gln,m1,0.1216,0.1569,0.1621,0.1574,0.159,0.149,0.1297,0.1301,0.1623,0.1409
Glnm2,Gln,m2,0.1975,0.206,0.1854,0.2155,0.2031,0.2048,0.1996,0.2016,0.2016,0.1994
Glnm3,Gln,m3,0.1573,0.1273,0.1015,0.1442,0.1238,0.1334,0.1506,0.153,0.1271,0.1398
Glnm4,Gln,m4,0.0913,0.0512,0.0365,0.0677,0.0507,0.0602,0.0844,0.0847,0.0492,0.0679
Glnm5,Gln,m5,0.071,0.0262,0.0187,0.0392,0.0257,0.033,0.0602,0.0607,0.0268,0.0434
Serm0,Ser,m0,0.846,0.865,0.8684,0.8686,0.8676,0.8626,0.8565,0.8608,0.8592,0.8732
Serm1,Ser,m1,0.0679,0.0703,0.0687,0.0639,0.065,0.0643,0.0655,0.0634,0.0719,0.0584
Serm2,Ser,m2,0.0322,0.029,0.0304,0.0328,0.031,0.031,0.0295,0.0288,0.0332,0.0286
Serm3,Ser,m3,0.0538,0.0357,0.0326,0.0348,0.0364,0.0421,0.0484,0.047,0.0358,0.0398
Lacm0,Lac,m0,0.269,0.3698,0.4417,0.3588,0.3956,0.3814,0.3325,0.3201,0.3245,0.389
Lacm1,Lac,m1,0.0523,0.0719,0.067,0.0834,0.0652,0.0728,0.0648,0.068,0.083,0.0579
Lacm2,Lac,m2,0.0646,0.0701,0.0598,0.0782,0.0641,0.0703,0.0707,0.0723,0.0812,0.0603
Lacm3,Lac,m3,0.6141,0.4883,0.4314,0.4796,0.4751,0.4755,0.532,0.5396,0.5113,0.4927
Malm0,Mal,m0,0.285,0.4164,0.5143,0.4277,0.436,0.3898,0.308,0.3297,0.4077,0.372
Malm1,Mal,m1,0.2079,0.2385,0.2294,0.2436,0.236,0.2428,0.223,0.2286,0.2349,0.2401
Malm2,Mal,m2,0.239,0.1992,0.1628,0.1947,0.1911,0.2035,0.2306,0.2232,0.201,0.2134
Malm3,Mal,m3,0.1623,0.0989,0.0681,0.092,0.0947,0.1104,0.1516,0.141,0.1048,0.119
Malm4,Mal,m4,0.1057,0.0471,0.0253,0.042,0.0422,0.0535,0.0868,0.0774,0.0516,0.0555
PEPm0,PEP,m0,0,0,0,0,0,0,0,0,0,0
PEPm1,PEP,m1,0,0,0,0,0,0,0,0,0,0
PEPm2,PEP,m2,0,0,0,0,0,0,0,0,0,0
PEPm3,PEP,m3,0,0,0,0,0,0,0,0,0,0
Pyrm0,Pyr,m0,0.375,0.4273,0.4541,0.42,0.3857,0.4247,0.4052,0.4029,0.4105,0.3861
Pyrm1,Pyr,m1,0.0653,0.0827,0.0802,0.0813,0.0801,0.0831,0.0781,0.082,0.0902,0.0849
