 ,G1BAT_6h,G1H_6h,G1LU_6h,G1LV_6h,G1PL_6h,G1SQ_6h,G1VF_6h,G2BAT_6h,G2H_6h,G2LU_6h,G2LV_6h,G2PL_6h,G2SQ_6h,G2VF_6h,G3BAT_6h,G3H_6h,G3LU_6h,G3LV_6h,G3PL_6h,G3SQ_6h,G3VF_6h,G4BAT_6h,G4H_6h,G4LU_6h,G4LV_6h,G4PL_6h,G4SQ_6h,G4VF_6h,G5BAT_6h,G5H_6h,G5LU_6h,G5LV_6h,G5PL_6h,G5SQ_6h,G5VF_6h,G1H_24h,G1LU_24h,G1LV_24h,G1PL_24h,G2H_24h,G2LU_24h,G2LV_24h,G2PL_24h,G3H_24h,G3LU_24h,G3LV_24h,G3PL_24h,G4H_24h,G4LU_24h,G4LV_24h,G4PL_24h,G5H_24h,G5LU_24h,G5LV_24h,G5PL_24h,G1H_96h,G1LU_96h,G1LV_96h,G1PL_96h,G2H_96h,G2LU_96h,G2LV_96h,G2PL_96h,G3H_96h,G3LU_96h,G3LV_96h,G3PL_96h,G4H_96h,G4LU_96h,G4LV_96h,G4PL_96h,G5H_96h,G5LU_96h,G5LV_96h,G5PL_96h
C12,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.35,0.35,0.35,0.35,0.3,0.3,0.3,0.3,0.35,0.35,0.35,0.35
C13,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.65,0.65,0.65,0.65,0.7,0.7,0.7,0.7,0.65,0.65,0.65,0.65
