State,Id,type,flux_calue,flux_std,lb,ub
reaction,r0208_Ser_lung_ex,free,1,1,0,200
reaction,r0209_Uridine_lung_ex,free,1,1,0,10
reaction,r0210_R5P_lung_ex,free,1,1,0,50
reaction,r0211_Glc_lung_ex,free,1,1,0,200
reaction,r0212_CO2_lung_ex,free,1,1,0,200
reaction,r0213_Lac_lung_ex,free,1,1,0,1000
reaction,r0214_AcCOAmit_lung_ex,free,1,1,0,100
reaction,r0215_Gly_lung_ex,free,1,1,0,200
reaction,r0216_Gln_lung_ex,free,1,1,0,100
reaction,r0217_Ala_lung_ex,free,1,1,0,200
reaction,r0218_Ser_lung_ex,free,1,1,0,200
reaction,r0219_Uridine_lung_ex,fitting,1,1,0,5
reaction,r0220_R5P_lung_ex,fitting,1,1,0,5
reaction,r0231_G6P_lung_BIO,free,1,1,0,50
reaction,r0232_UMP_lung_BIO,free,1,1,0,20
reaction,r0233_DHAP_lung_BIO,free,1,1,0,20
reaction,r0234_Ser_lung_BIO,free,1,1,0,20
reaction,r0235_Ala_lung_BIO,free,1,1,0,20
reaction,r0236_Asp_lung_BIO,free,1,1,0,20
reaction,r0237_Glu_lung_BIO,free,1,1,0,20
reaction,r0238_Gln_lung_BIO,free,1,1,0,20
reaction,r0239_FA_lung_BIO,free,1,1,0,50
reaction,r0240_ATP_lung_BIO,free,1,1,0,1000
reaction,r0241_NADPH_lung_BIO,free,1,1,0,1000
reaction,r0242_AcAsp_lung_BIO,free,1,1,0,5
reaction,r0243_CO2_lung_BIO,free,1,1,0,1000
reaction,r0260_hk_lung,free,1,1,0,200
reaction,r0261_pgi_lung,free,1,1,0,200
reaction,r0262_pgi_lung,free,1,1,0,500
reaction,r0263_pfk_lung,free,1,1,0,200
reaction,r0265_fba_lung,free,1,1,0,500
reaction,r0266_fba_lung,free,1,1,0,500
reaction,r0267_tpi_lung,free,1,1,0,500
reaction,r0268_tpi_lung,free,1,1,0,500
reaction,r0269_gapdh_lung,free,1,1,0,500
reaction,r0270_gapdh_lung,free,1,1,0,500
reaction,r0271_peph_lung,free,1,1,0,500
reaction,r0272_peph_lung,free,1,1,0,500
reaction,r0273_pk_lung,free,1,1,0,500
reaction,r0274_pyrdh_lung,free,1,1,0,200
reaction,r0275_cs_lung,free,1,1,0,200
reaction,r0277_idh_lung,free,1,1,0,500
reaction,r0278_idh_lung,free,1,1,0,500
reaction,r0279_akgdh_lung,free,1,1,0,200
reaction,r0281_sdh_lung,free,1,1,0,500
reaction,r0282_sdh_lung,free,1,1,0,500
reaction,r0283_fh_lung,free,1,1,0,500
reaction,r0284_fh_lung,free,1,1,0,500
reaction,r0285_mdh_lung,free,1,1,0,500
reaction,r0286_mdh_lung,free,1,1,0,500
