Tissue,Pathway,Difference,AbsDiff
Cor,Glycolysis,0.0265297010556948,0.0265297010556948
Cor,Oxidative PPP,0.02734731109057996,0.02734731109057996
Cor,Non oxidative PPP,0.027636443051395926,0.027636443051395926
Cor,Lactate Dehydrogenase,0.08088018048100498,0.08088018048100498
Cor,Pyruvate Dehydrogenase,-0.029940529768899445,0.029940529768899445
Cor,TCA Cycle,0.012706218485948842,0.012706218485948842
Cor,Fatty Acid Oxidation,0.018994176230954257,0.018994176230954257
Cor,Fatty Acid Synthesis,0.004438183354597294,0.004438183354597294
SK,Glycolysis,0.13357666743788066,0.13357666743788066
SK,Oxidative PPP,-0.049635739835798706,0.049635739835798706
SK,Non oxidative PPP,-0.05139745864159004,0.05139745864159004
SK,Lactate Dehydrogenase,0.13558735784336393,0.13558735784336393
SK,Pyruvate Dehydrogenase,0.049548445118333805,0.049548445118333805
SK,TCA Cycle,0.05283411431859738,0.05283411431859738
SK,Fatty Acid Oxidation,0.03327042274672646,0.03327042274672646
SK,Fatty Acid Synthesis,0.07250231835124113,0.07250231835124113
Gas,Glycolysis,0.009188882914973828,0.009188882914973828
Gas,Oxidative PPP,0.020586096816390675,0.020586096816390675
Gas,Non oxidative PPP,0.020173844713059302,0.020173844713059302
Gas,Lactate Dehydrogenase,-0.0790221509758734,0.0790221509758734
Gas,Pyruvate Dehydrogenase,-0.01015961511646704,0.01015961511646704
Gas,TCA Cycle,0.013709083254136237,0.013709083254136237
Gas,Fatty Acid Oxidation,0.006137923768741803,0.006137923768741803
Gas,Fatty Acid Synthesis,0.009725490262905478,0.009725490262905478
CB,Glycolysis,-0.02006318340675234,0.02006318340675234
CB,Oxidative PPP,0.008266389409771646,0.008266389409771646
CB,Non oxidative PPP,0.00514537112282934,0.00514537112282934
CB,Lactate Dehydrogenase,0.031004995829068183,0.031004995829068183
CB,Pyruvate Dehydrogenase,0.007593214578897466,0.007593214578897466
CB,TCA Cycle,-0.0007805917122454542,0.0007805917122454542
CB,Fatty Acid Oxidation,-0.006971093355837357,0.006971093355837357
CB,Fatty Acid Synthesis,0.008530365171584606,0.008530365171584606
PA,Glycolysis,0.030639159680936452,0.030639159680936452
PA,Oxidative PPP,-0.050475434736881736,0.050475434736881736
PA,Non oxidative PPP,-0.06457609993227201,0.06457609993227201
PA,Lactate Dehydrogenase,-0.060226727100415274,0.060226727100415274
PA,Pyruvate Dehydrogenase,-0.008270734870182185,0.008270734870182185
PA,TCA Cycle,0.020802927316969227,0.020802927316969227
PA,Fatty Acid Oxidation,0.03974426345083033,0.03974426345083033
PA,Fatty Acid Synthesis,-0.08579216859296848,0.08579216859296848
GUT,Glycolysis,-0.0055516046983227485,0.0055516046983227485
GUT,Oxidative PPP,-0.03644720541642338,0.03644720541642338
GUT,Non oxidative PPP,-0.02640492919306231,0.02640492919306231
GUT,Lactate Dehydrogenase,0.023939355984697264,0.023939355984697264
GUT,Pyruvate Dehydrogenase,-0.05461814191204817,0.05461814191204817
GUT,TCA Cycle,0.0014367747919312723,0.0014367747919312723
GUT,Fatty Acid Oxidation,-0.017962270690376425,0.017962270690376425
GUT,Fatty Acid Synthesis,-0.05422370377793673,0.05422370377793673
TH,Glycolysis,0.01437458639682987,0.01437458639682987
TH,Oxidative PPP,0.001877692608740003,0.001877692608740003
TH,Non oxidative PPP,0.014626265870716346,0.014626265870716346
TH,Lactate Dehydrogenase,0.09690003853392537,0.09690003853392537
TH,Pyruvate Dehydrogenase,-0.029163264616389822,0.029163264616389822
TH,TCA Cycle,-0.005394835217006663,0.005394835217006663
TH,Fatty Acid Oxidation,-0.0045049719681890255,0.0045049719681890255
TH,Fatty Acid Synthesis,-0.005965933957861325,0.005965933957861325
LUN,Glycolysis,0.0067858602624275045,0.0067858602624275045
LUN,Oxidative PPP,0.011834072517737167,0.011834072517737167
LUN,Non oxidative PPP,0.00944688242351702,0.00944688242351702
